prodouct_type,product_sku,product_variant,review_posted-date,reviewer_name,rating_of_product,review_comments,final_sentiment,aspect,ecommerce_platform,product_classification
"Indica ",Indica EHCNB 25ml,Haircolor,6-Oct-16,NULL,3.0 out of 5 stars,its just a dye like others but be lilll careful while you colour hair,positive,"['dye like others', 'lilll careful', 'colour hair']",Amazon,effectonhair
"Indica ",Indica ESHCB 18ml,Haircolor,30-May-19,NULL,5.0 out of 5 stars,Product is easy to use,positive,"['use', 'product', 'easy']",Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,30-May-19,NULL,5.0 out of 5 stars,Product is easy to use,positive,"['use', 'product', 'easy']",Amazon,effectonhair
"Indica ",Indica EHCNB 25ml,Haircolor,8-Nov-19,NULL,3.0 out of 5 stars,Ok,positive,['ok'],Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,6-Jul-19,NULL,4.0 out of 5 stars,Price is high,neutral,"['price', 'high']",Amazon,pricing
"Indica ",Indica ESHCB 18ml,Haircolor,6-Jul-19,NULL,4.0 out of 5 stars,Price is high,neutral,"['price', 'high']",Amazon,effectonhair
"Indica ",Indica EHCNB 25ml,Haircolor,27-Feb-19,NULL,4.0 out of 5 stars,Good,positive,['good'],Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,20-Sep-19,NULL,3.0 out of 5 stars,Ok,positive,['ok'],Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,20-Sep-19,NULL,3.0 out of 5 stars,Ok,positive,['ok'],Amazon,effectonhair
"Indica ",Indica EHCNB 25ml,Haircolor,21-Sep-17,NULL,5.0 out of 5 stars,"Easy to use and the best ",positive,"['use', 'easy', 'best']",Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,18-Jul-19,NULL,4.0 out of 5 stars,Easy to use,positive,"['use', 'easy']",Amazon,effectonhair
"Indica ",Indica ESHCB 18ml,Haircolor,18-Jul-19,NULL,4.0 out of 5 stars,Easy to use,positive,"['use', 'easy']",Amazon,packaging
"Indica ",Indica EHCNB 25ml,Haircolor,30-Nov-17,NULL,5.0 out of 5 stars,Good product,positive,['good product'],Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,29-Oct-19,NULL,3.0 out of 5 stars,Good,positive,['good'],Amazon,quality
"Indica ",Indica ESHCB 18ml,Haircolor,29-Oct-19,NULL,3.0 out of 5 stars,Good,positive,['good'],Amazon,effectonhair
"Indica ",Indica EHCNB 25ml,Haircolor,25 April 2018,NULL,NULL,"It is a single sachet whose MRP is Rs      I was fooled into buying it at Rs    ",negative,"['rs', 'fooled', 'buying']",Amazon,pricing
Indica,Indica10minCDB,Haircolor,14-Feb-20,NULL,5.0 out of 5 stars,"bought it for my mother  she says  it s the best hair color she has used to date  thank u Flipkart fit pricing such a good product on cheap  and thank u Indica for making such good quality products ",positive,"['thank u indica', 'best hair color', 'good quality products', 'good product', 'used', 'says', 'mother', 'making', 'cheap', 'bought']",flipkart,quality
"Indica ",Indica ESHCB 18ml,Haircolor,2-Nov-19,NULL,4.0 out of 5 stars,Nice,positive,['nice'],Amazon,effectonhair
"Indica ",Indica EHCNB 25ml,Haircolor,19-Dec-18,NULL,5.0 out of 5 stars,"effective and easy to use for all types of hair ",positive,"['use', 'types', 'hair', 'effective', 'easy']",Amazon,effectonhair
Indica,Indica10minCDB,Haircolor,16-Nov-19,NULL,3.0 out of 5 stars,good,positive,['good'],flipkart,quality
